ActivitiesMembersID,ActivityID,MemberID
2324,336,2638
2325,150,2932
2326,733,2175
2327,693,2960
2328,639,2235
2329,678,2074
2330,312,2565
2331,522,2863
2332,689,2264
2333,13,2058
2334,64,2337
2335,767,2570
2336,291,2298
2337,934,2619
2338,274,2687
2339,145,2282
2340,901,2720
2341,221,2321
2342,298,2831
2343,559,2468
2344,900,2497
2345,398,2922
2346,615,2246
2347,203,2599
2348,765,2737
2349,335,2516
2350,36,2478
2351,277,2256
2352,317,2071
2353,484,2228
2354,836,2182
2355,138,2702
2356,503,2317
2357,679,2631
2358,432,2059
2359,253,2555
2360,57,2183
2361,466,2306
2362,847,2115
2363,95,2485
2364,665,2276
2365,721,2041
2366,755,2947
2367,838,2492
2368,143,2154
2369,982,2637
2370,599,2104
2371,486,2716
2372,561,2388
2373,202,2364
2374,244,2462
2375,663,2435
2376,230,2401
2377,858,2859
2378,158,2964
2379,441,2324
2380,108,2003
2381,233,2325
2382,631,2809
2383,431,2728
2384,389,2596
2385,333,2874
2386,54,2078
2387,182,2757
2388,665,2553
2389,332,2990
2390,795,2269
2391,424,2219
2392,909,2326
2393,363,2949
2394,738,2942
2395,718,2631
2396,811,2792
2397,76,2914
2398,880,2927
2399,218,2420
2400,663,2715
2401,197,2956
2402,711,2245
2403,545,2903
2404,675,2161
2405,519,2630
2406,327,2829
2407,709,2457
2408,912,2672
2409,764,2584
2410,571,2274
2411,4,2355
2412,664,2714
2413,193,2432
2414,411,2275
2415,714,2388
2416,200,2782
2417,693,2848
2418,942,2568
2419,484,2654
2420,67,2987
2421,917,2426
2422,809,2180
2423,40,2115
2424,366,2759
2425,229,2438
2426,502,2524
2427,345,2349
2428,733,2977
2429,660,2883
2430,21,2629
2431,150,2113
2432,247,2564
2433,977,2074
2434,621,2930
2435,963,2589
2436,559,2971
2437,32,2023
2438,856,2222
2439,222,2691
2440,252,2376
2441,853,2961
2442,932,2526
2443,533,2641
2444,347,2822
2445,698,2530
2446,14,2487
2447,268,2326
2448,887,2626
2449,291,2324
2450,731,2674
2451,911,2597
2452,342,2456
2453,831,2337
2454,461,2811
2455,566,2743
2456,553,2707
2457,101,2938
2458,83,2091
2459,650,2384
2460,865,2932
2461,776,2307
2462,671,2293
2463,205,2725
2464,170,2314
2465,393,2535
2466,361,2280
2467,11,2787
2468,209,2741
2469,528,2508
2470,744,2316
2471,117,2617
2472,906,2353
2473,501,2085
2474,666,2786
2475,619,2381
2476,377,2121
2477,301,2058
2478,818,2439
2479,697,2360
2480,743,2218
2481,949,2557
2482,102,2649
2483,273,2969
2484,616,2386
2485,862,2135
2486,448,2946
2487,583,2640
2488,378,2994
2489,97,2141
2490,939,2479
2491,653,2955
2492,275,2833
2493,236,2639
2494,840,2489
2495,941,2815
2496,166,2304
2497,514,2260
2498,779,2053
2499,978,2772
2500,458,2144
2501,607,2344
2502,29,2889
2503,12,2933
2504,239,2258
2505,99,2873
2506,807,2458
2507,27,2625
2508,999,2181
2509,624,2952
2510,126,2193
2511,31,2863
2512,843,2602
2513,159,2476
2514,507,2544
2515,690,2250
2516,672,2666
2517,498,2112
2518,249,2392
2519,786,2593
2520,657,2730
2521,430,2099
2522,403,2793
2523,701,2332
2524,806,2287
2525,913,2473
2526,85,2831
2527,114,2900
2528,176,2618
2529,410,2079
2530,889,2887
2531,948,2862
2532,319,2702
2533,848,2430
2534,337,2922
2535,478,2512
2536,96,2657
2537,568,2771
2538,394,2794
2539,75,2474
2540,757,2325
2541,633,2673
2542,824,2140
2543,861,2160
2544,418,2855
2545,762,2636
2546,44,2751
2547,543,2876
2548,874,2059
2549,315,2553
2550,428,2253
2551,20,2711
2552,169,2767
2553,19,2365
2554,305,2620
2555,561,2284
2556,703,2139
2557,966,2465
2558,685,2442
2559,746,2781
2560,986,2718
2561,551,2978
2562,24,2030
2563,245,2216
2564,967,2483
2565,187,2503
2566,783,2546
2567,263,2170
2568,280,2421
2569,612,2318
2570,139,2273
2571,175,2453
2572,178,2687
2573,360,2895
2574,846,2092
2575,206,2169
2576,415,2905
2577,346,2086
2578,695,2680
2579,702,2632
2580,891,2459
2581,241,2090
2582,352,2513
2583,785,2120
2584,133,2827
2585,86,2394
2586,503,2406
2587,586,2902
2588,271,2669
2589,976,2560
2590,955,2485
2591,464,2407
2592,592,2237
2593,635,2123
2594,51,2609
2595,563,2410
2596,870,2073
2597,885,2081
2598,296,2294
2599,719,2019
2600,417,2005
2601,285,2959
2602,313,2313
2603,781,2699
2604,59,2046
2605,146,2017
2606,775,2541
2607,800,2016
2608,479,2227
2609,575,2450
2610,658,2985
2611,971,2015
2612,735,2136
2613,628,2919
2614,982,2116
2615,810,2740
2616,813,2520
2617,449,2865
2618,828,2191
2619,235,2979
2620,111,2320
2621,122,2449
2622,730,2130
2623,152,2298
2624,13,2928
2625,134,2516
2626,9,2093
2627,453,2744
2628,358,2830
2629,784,2173
2630,922,2472
2631,927,2825
2632,584,2001
2633,829,2117
2634,548,2647
2635,683,2018
2636,258,2471
2637,659,2028
2638,39,2582
2639,381,2788
2640,538,2728
2641,725,2764
2642,740,2613
2643,754,2499
2644,516,2543
2645,995,2327
2646,852,2912
2647,195,2940
2648,482,2359
2649,66,2107
2650,10,2214
2651,565,2664
2652,527,2776
2653,569,2377
2654,171,2878
2655,151,2766
2656,511,2209
2657,348,2466
2658,426,2645
2659,43,2570
2660,60,2424
2661,684,2882
2662,447,2240
2663,825,2585
2664,661,2484
2665,188,2223
2666,859,2749
2667,649,2536
2668,521,2267
2669,465,2044
2670,905,2924
2671,992,2356
2672,331,2132
2673,238,2248
2674,91,2844
2675,539,2923
2676,154,2561
2677,276,2999
2678,674,2048
2679,485,2737
2680,309,2692
2681,480,2558
2682,931,2486
2683,321,2118
2684,837,2552
2685,651,2468
2686,257,2975
2687,242,2929
2688,167,2881
2689,759,2097
2690,177,2727
2691,894,2043
2692,638,2182
2693,534,2082
2694,432,2839
2695,542,2419
2696,269,2011
2697,356,2158
2698,794,2990
2699,486,2945
2700,354,2934
2701,140,2385
2702,518,2857
2703,732,2859
2704,791,2514
2705,761,2390
2706,368,2964
2707,92,2229
2708,470,2646
2709,286,2548
2710,578,2277
2711,413,2454
2712,544,2684
2713,220,2581
2714,148,2328
2715,65,2594
2716,961,2350
2717,983,2854
2718,1,2067
2719,22,2119
2720,329,2089
2721,184,2131
2722,180,2838
2723,745,2998
2724,16,2911
2725,973,2871
2726,459,2340
2727,845,2164
2728,398,2204
2729,636,2416
2730,937,2868
2731,604,2282
2732,35,2481
2733,350,2993
2734,81,2404
2735,788,2851
2736,696,2752
2737,420,2756
2738,597,2972
2739,804,2114
2740,335,2035
2741,970,2750
2742,141,2950
2743,103,2003
2744,314,2773
2745,877,2186
2746,601,2171
2747,570,2931
2748,712,2221
2749,799,2637
2750,994,2066
2751,168,2710
2752,720,2352
2753,724,2400
2754,277,2709
2755,857,2800
2756,194,2701
2757,816,2368
2758,705,2236
2759,490,2196
2760,189,2659
2761,303,2321
2762,270,2608
2763,473,2819
2764,625,2263
2765,199,2210
2766,262,2050
2767,116,2137
2768,532,2374
2769,138,2538
2770,582,2215
2771,454,2228
2772,776,2970
2773,133,2853
2774,972,2949
2775,899,2264
2776,38,2586
2777,959,2185
2778,373,2201
2779,841,2748
2780,747,2761
2781,204,2595
2782,869,2690
2783,413,2143
2784,11,2982
2785,831,2103
2786,653,2014
2787,10,2159
2788,981,2623
2789,188,2243
2790,253,2812
2791,600,2604
2792,773,2268
2793,255,2195
2794,676,2700
2795,316,2469
2796,730,2837
2797,167,2036
2798,266,2172
2799,615,2959
2800,923,2119
2801,651,2667
2802,705,2181
2803,920,2652
2804,818,2539
2805,838,2333
2806,299,2078
2807,206,2723
2808,530,2114
2809,994,2607
2810,21,2633
2811,710,2339
2812,168,2655
2813,66,2235
2814,178,2077
2815,207,2988
2816,893,2183
2817,775,2185
2818,909,2675
2819,810,2824
2820,40,2073
2821,308,2600
2822,741,2203
2823,685,2756
2824,891,2224
2825,921,2774
2826,970,2771
2827,851,2103
2828,728,2576
2829,660,2507
2830,234,2003
2831,765,2996
2832,648,2184
2833,734,2594
2834,725,2386
2835,683,2762
2836,443,2739
2837,955,2917
2838,731,2528
2839,200,2356
2840,198,2381
2841,745,2867
2842,149,2782
2843,801,2646
2844,962,2251
2845,4,2401
2846,905,2068
2847,452,2489
2848,123,2277
2849,49,2434
2850,392,2064
2851,809,2853
2852,152,2680
2853,193,2813
2854,391,2897
2855,946,2823
2856,515,2974
2857,930,2639
2858,638,2859
2859,425,2146
2860,14,2306
2861,312,2939
2862,102,2831
2863,756,2905
2864,17,2972
2865,403,2046
2866,625,2558
2867,616,2501
2868,302,2910
2869,323,2478
2870,960,2581
2871,116,2211
2872,567,2767
2873,65,2670
2874,307,2464
2875,798,2053
2876,704,2020
2877,361,2840
2878,948,2199
2879,90,2105
2880,677,2198
2881,630,2874
2882,147,2747
2883,407,2807
2884,327,2262
2885,324,2392
2886,806,2816
2887,888,2443
2888,43,2357
2889,581,2451
2890,514,2049
2891,531,2349
2892,85,2248
2893,594,2136
2894,711,2313
2895,88,2830
2896,398,2486
2897,319,2056
2898,314,2683
2899,767,2989
2900,176,2542
2901,903,2124
2902,269,2950
2903,318,2032
2904,325,2732
2905,54,2086
2906,856,2377
2907,209,2623
2908,528,2173
2909,129,2206
2910,788,2613
2911,795,2958
2912,884,2362
2913,674,2585
2914,414,2272
2915,67,2174
2916,364,2883
2917,246,2195
2918,82,2099
2919,889,2927
2920,180,2911
2921,461,2968
2922,410,2257
2923,571,2711
2924,19,2254
2925,44,2479
2926,109,2663
2927,814,2496
2928,174,2062
2929,72,2226
2930,769,2414
2931,736,2916
2932,656,2962
2933,797,2129
2934,992,2556
2935,151,2246
2936,379,2617
2937,405,2274
2938,119,2545
2939,744,2091
2940,739,2192
2941,488,2947
2942,918,2143
2943,867,2896
2944,932,2037
2945,474,2614
2946,724,2201
2947,553,2936
2948,189,2293
2949,416,2038
2950,566,2708
2951,388,2511
2952,460,2050
2953,197,2264
2954,395,2335
2955,832,2017
2956,263,2638
2957,286,2323
2958,774,2331
2959,141,2806
2960,421,2182
2961,686,2232
2962,250,2166
2963,145,2740
2964,383,2792
2965,669,2993
2966,211,2629
2967,782,2358
2968,423,2847
2969,582,2500
2970,73,2801
2971,277,2382
2972,94,2460
2973,203,2019
2974,181,2363
2975,48,2994
2976,589,2743
2977,98,2578
2978,454,2072
2979,791,2710
2980,694,2415
2981,655,2165
2982,504,2589
2983,297,2533
2984,87,2506
2985,680,2433
2986,148,2023
2987,438,2912
2988,293,2755
2989,115,2169
2990,877,2664
2991,273,2502
2992,879,2047
2993,336,2887
2994,917,2913
2995,536,2352
2996,596,2541
2997,993,2969
2998,62,2301
2999,858,2417
3000,663,2776
