CountryID,Name,Population,AverageSalary
120,Thailand,6549320,822.31
121,China,8118275,1138.8
122,Guatemala,5330805,1043.91
123,Russia,6403450,1637.66
124,Greece,4393539,1581.43
125,Brazil,9356305,1682.94
126,Philippines,1245813,1039.97
127,Indonesia,5731597,1553.35
128,Iran,6685511,1293.63
129,Russia,4249150,1526.73
130,Vietnam,7602502,1252.85
131,Somalia,1290956,1434.16
132,Indonesia,6269986,936.62
133,Saint Vincent and the Grenadines,1222457,934.22
134,Bulgaria,1757052,1015.64
135,China,5010901,1743.86
136,Philippines,4950870,1455.99
137,Netherlands,1920565,1504.69
138,China,7100971,1690.25
139,Portugal,9650106,942.33
140,Guam,1913467,1204.82
141,Palestinian Territory,4379236,1830.31
142,Germany,4334862,1180.68
143,Sweden,1910692,1366.68
144,Colombia,4572991,1801.15
145,South Korea,4856841,834.81
146,Czech Republic,3379312,1214.56
147,China,8057425,1462.17
148,New Zealand,9250163,1162.06
149,American Samoa,5842558,1702.21
150,China,2280132,1893.14
151,Latvia,4522371,1067.45
152,Indonesia,4134177,1739.62
153,Guatemala,1981776,1876.16
154,China,7972125,1591.51
155,Brazil,7754443,1555.84
156,South Africa,7253904,1746.2
157,China,8253831,1790.3
158,China,7851249,1534.07
159,Russia,7453677,904.25
160,Philippines,1887305,1001.29
161,Mexico,4850118,929.55
162,Peru,9303469,825.64
163,China,2395896,1573.18
164,China,7866093,1182.81
165,Greece,1907205,956.21
166,Indonesia,5077057,848.15
167,Brazil,6265228,1062.85
168,Vietnam,8731309,1730.62
169,Russia,3929556,1194.94
170,Israel,7812684,1837.03
171,Morocco,8241015,1489.42
172,United States,6912191,1182.24
173,Indonesia,9158364,1492.89
174,China,3297441,1268.24
175,Russia,9739250,1699.92
176,Philippines,2905903,1567.46
177,France,3452404,1749.24
178,Mexico,8343346,1788.45
179,Germany,1110391,1843.24
180,Indonesia,7879372,1015.27
181,Sweden,1777329,1698.84
182,Argentina,9584651,1558.95
183,United States,1146520,1092.68
184,Bulgaria,7282599,1241.2
185,France,1324210,1159.55
186,Colombia,5432764,899.48
187,Senegal,8633712,1177.31
188,Brazil,6335019,1727.45
189,Indonesia,5100238,1506.55
190,China,9042906,937.86
191,Bangladesh,1678857,986.33
192,Czech Republic,4529346,1067.7
193,Japan,4835114,1584.01
194,Bolivia,2712146,878.49
195,France,8172832,1799.09
196,China,7040112,812.92
197,Finland,9084878,1258.28
198,Slovenia,3417947,1805.04
199,Brazil,6088010,959.05
200,Portugal,2225322,1269.87
201,Philippines,1443149,987.61
202,Japan,7788078,1371.45
203,Czech Republic,2653731,1316.09
204,Indonesia,3143216,1555.94
205,China,9082474,1023.65
206,China,2822542,834.21
207,Indonesia,3291965,1701.08
208,Finland,8987962,1718.77
209,Poland,4529959,1714.86
210,Czech Republic,4771356,1412.19
211,China,8310859,1373.09
212,Mexico,4466342,1365.87
213,France,1790039,1440.45
214,Portugal,1936737,984.54
215,Burkina Faso,4584016,1564.24
216,South Africa,4127654,1321.36
217,Indonesia,9232207,1422.1
218,Portugal,8051128,1204.86
219,Poland,7404289,1588.53
220,Colombia,3594396,1270.4
221,Greece,8532829,1259.24
222,Indonesia,9248540,1408.97
223,Ukraine,5655741,1694.11
224,Indonesia,5905735,1032.86
225,Poland,5083022,984.23
226,Greece,1320612,1097.7
227,Indonesia,8704784,879.05
228,China,5767805,1682.84
229,Indonesia,9789127,1432.05
230,Norway,8102903,1864.54
231,Vietnam,7187746,1052.07
232,Colombia,6962973,1457.33
233,Czech Republic,4956738,1898.95
234,Nigeria,6713588,1432.41
235,Poland,4263053,1068.29
236,Sweden,3522254,1234.85
237,Philippines,2962918,1671.86
238,United States,2832345,945.14
239,China,7222115,1139.7
240,United States,3524676,1872.34
241,China,8191859,1718.18
242,China,5107115,1083.38
243,Russia,5694366,1293.68
244,Egypt,8843557,1519.82
245,China,3894626,959.94
246,China,4943651,1644.04
247,Chad,7021408,1423.72
248,Sweden,7837614,1128.08
249,Poland,7676798,1747.22
250,China,8246703,1089.41
251,China,7840232,1119.38
252,Nicaragua,6832668,1557.14
253,Uruguay,2644210,1465.76
254,China,3812345,813.0
255,Yemen,3149670,1544.13
256,Poland,8610659,1163.2
257,Indonesia,3393399,902.29
258,Vietnam,8380903,1496.47
259,Belarus,8032712,847.86
260,Ukraine,1227441,1480.03
261,Tajikistan,1823559,800.05
262,Philippines,8567290,1482.13
263,Comoros,3002105,1807.78
264,Colombia,4563824,1028.08
265,Indonesia,9370851,1744.34
266,China,6811816,1511.92
267,Honduras,2051436,1080.33
268,Comoros,2523666,1875.25
269,China,9101382,857.36
270,Yemen,1376871,1321.23
271,Finland,7272862,1027.35
272,Philippines,5808945,1153.86
273,Peru,5091403,1479.48
274,Indonesia,7708715,1433.2
275,Moldova,2849818,1005.18
276,Honduras,3547343,1736.2
277,Argentina,8828660,1337.77
278,China,7485764,889.63
279,Brazil,6668020,1115.23
280,China,6935952,1030.61
281,Mexico,5752011,1004.05
282,Sweden,5300363,1539.84
283,Costa Rica,4017565,852.57
284,Russia,5284541,1738.94
285,China,1254304,1005.42
286,Philippines,3566244,1853.09
287,Ukraine,6984735,1234.45
288,Indonesia,7410961,1380.41
289,Sweden,9694016,1393.75
290,Indonesia,6438779,957.1
291,Russia,7289689,1603.47
292,Indonesia,4440365,1302.17
293,Armenia,2868235,977.18
294,Brazil,3198979,1039.7
295,Anguilla,4502728,1459.15
296,Indonesia,5102229,1529.71
297,Argentina,4105583,1784.27
298,Indonesia,7405418,1545.91
299,Nicaragua,6588982,1846.49
300,Sweden,3579297,1475.63
301,Venezuela,3762463,1528.82
302,China,1311197,819.93
303,Mexico,7338274,837.62
304,China,7685895,1085.03
305,France,2000304,1405.65
306,China,5824302,1632.53
307,Netherlands,6806091,809.04
308,New Caledonia,3724781,1035.34
309,France,1400480,1678.68
310,Peru,5106713,833.68
311,Indonesia,7595866,860.81
312,Ukraine,7732922,1156.41
313,Poland,8696748,1751.12
314,China,6519140,1752.26
315,France,3067308,1591.95
316,Philippines,4627987,1344.62
317,Philippines,3490539,1013.44
318,Indonesia,3341944,1107.86
319,Kosovo,7017102,1341.36
320,Jordan,5036304,1605.57
321,Norway,7251489,860.03
322,France,2889382,1880.78
323,Kenya,1666281,1064.84
324,Russia,7266952,897.06
325,Philippines,4196609,1585.17
326,Bahamas,4364839,1385.23
327,Vietnam,3573082,1729.71
328,Egypt,6908536,1199.34
329,Czech Republic,5017029,1719.13
330,Republic of the Congo,5827242,1416.18
331,China,5485241,1792.08
332,Philippines,2930471,973.15
333,Poland,5729924,1366.42
334,Russia,1937150,1565.38
335,Poland,3119420,1897.34
336,Sweden,1060557,1287.23
337,France,4830229,1853.4
338,China,8450230,1532.17
339,China,9517268,1378.38
340,China,2131922,1758.86
341,Nicaragua,4089258,991.65
342,Finland,3979819,1775.42
343,Philippines,7052802,1520.27
344,Portugal,7301269,1790.63
345,China,3846648,1784.17
346,Uganda,5474588,922.56
347,Guinea,8701587,1479.49
348,Philippines,5663871,1792.25
349,Indonesia,9605740,1128.51
350,China,5812704,1580.05
351,Poland,4935705,1274.31
352,Indonesia,4739697,1389.1
353,China,6659418,1247.81
354,Brazil,7375302,1455.57
355,Philippines,1615345,922.41
356,Brazil,8023340,1701.04
357,France,7072519,1196.27
358,Mayotte,6569563,1623.81
359,France,9600813,1565.24
360,Italy,6330860,1199.01
361,Greece,4118578,1503.04
362,Portugal,5623636,997.88
363,Mozambique,8466271,1461.48
364,Russia,8493461,1655.72
365,Philippines,3892874,1645.91
366,Japan,1799393,998.75
367,Indonesia,1762863,977.37
368,China,9145324,1016.0
369,Russia,4050719,1734.0
370,China,1830066,1897.18
371,Greece,8572009,1752.91
372,Indonesia,1920638,1265.05
373,Brazil,5727888,1075.02
374,Philippines,2562829,1252.6
375,Peru,6790298,1878.05
376,Colombia,3016885,1208.7
377,United States,7855281,1092.8
378,China,3287200,930.81
379,Russia,1126706,928.92
380,Poland,2459711,890.63
381,Thailand,4927879,1830.72
382,Brazil,2487171,1083.26
383,Russia,2965755,841.72
384,China,1044423,1541.92
385,Indonesia,5769379,1211.21
386,Canada,8073762,1053.83
387,Mali,4089359,805.57
388,Yemen,8664788,1360.34
389,Argentina,9239107,1470.57
390,Iran,9607669,902.75
391,China,4290829,1667.79
392,Portugal,9564958,1548.13
393,Russia,8772492,1037.2
394,Indonesia,7784076,1129.82
395,Brazil,9668242,810.18
396,China,9121260,1207.78
397,Colombia,5313250,1326.06
398,Czech Republic,3902520,1239.18
399,Netherlands,3061388,1189.27
400,China,9411079,1664.84
401,Greece,1850647,1842.48
402,Philippines,9120781,832.96
403,Indonesia,9006859,890.93
404,Russia,4508953,1778.47
405,Brazil,1198316,1173.06
406,Portugal,8620966,1310.8
407,South Africa,9381040,1196.62
408,France,1082976,1154.62
409,Poland,5633638,1649.29
410,Russia,9931921,1273.92
411,Portugal,1637726,1529.77
412,Indonesia,8730386,1716.2
413,Argentina,7340926,1807.4
414,China,1619926,1897.64
415,China,8613160,965.53
416,Sri Lanka,2244180,907.06
417,Nigeria,8640379,1700.46
418,China,4402728,1572.95
419,China,9892997,858.93
420,Cameroon,6551540,801.73
421,Thailand,3409529,1880.31
422,Poland,1284825,1173.47
423,Indonesia,4846897,1607.27
424,Thailand,5653462,1299.25
425,Ukraine,1011450,817.4
426,Syria,6430469,831.46
427,Sweden,8654621,1001.76
428,Brazil,7337062,1512.49
429,United States,2764025,1538.07
430,Philippines,7812263,1064.76
431,Portugal,4529659,842.21
432,Canada,6781681,1461.62
433,Japan,2453874,1108.93
434,Portugal,9711107,1314.69
435,Argentina,4461299,1494.43
436,Bolivia,8135048,1103.06
437,France,9389110,1198.18
438,Greece,3046965,947.6
439,Thailand,6819639,1485.92
440,China,5590444,1363.58
441,Finland,9431689,1301.14
442,Portugal,8509794,1439.85
443,China,8794661,1601.95
444,Japan,9579497,1466.19
445,China,2959707,934.41
446,France,5047693,968.88
447,Poland,6399073,1439.2
448,China,3672786,954.2
449,Indonesia,6755935,1023.85
450,Philippines,1315285,984.45
451,Brazil,1483108,1057.08
452,China,2356899,1315.86
453,United States,7059392,1368.05
454,United States,5435441,1131.39
455,France,9715109,1626.38
456,China,6948866,1184.49
457,China,4524236,812.36
458,Indonesia,6856766,1428.35
459,Russia,7967371,940.04
460,France,3122338,1861.23
461,Finland,3156451,1008.33
462,Ukraine,8789130,1146.94
463,Indonesia,2559926,1100.98
464,Portugal,4810184,1369.95
465,Japan,3294093,1258.48
466,China,4570976,1542.08
467,Sweden,3332046,1615.09
468,Sri Lanka,1975950,1287.83
469,Mexico,4732647,1163.55
470,Cuba,4975707,1290.2
471,Russia,4658670,1575.61
472,Honduras,4109475,1513.24
473,China,2844729,1568.55
474,Tajikistan,5627351,926.26
475,Mexico,9577301,941.23
476,Philippines,8138077,912.79
477,China,3780119,890.64
478,Czech Republic,6354802,1657.5
479,China,1613872,1293.95
480,Madagascar,9413483,1723.4
481,Panama,7212248,900.77
482,Thailand,2441519,956.08
483,China,7876396,1353.98
484,Sweden,7712576,1377.26
485,China,7878453,1669.39
486,Nigeria,5879834,1876.84
487,Bolivia,7599990,1335.49
488,Poland,4968928,1212.04
489,France,1234790,1236.43
490,Sweden,9790807,1291.7
491,South Africa,8111322,1746.72
492,Greece,3103077,1473.82
493,Philippines,7372407,1728.52
494,China,3005600,1113.3
495,Russia,7696610,1201.72
496,France,2682992,1122.58
497,Gambia,3620329,1448.0
498,Russia,3857952,1700.18
499,Russia,2959958,1040.9
500,Iraq,4347664,1687.73
501,Afghanistan,3047334,1478.9
502,United States,8078451,1291.61
503,Turkmenistan,3688476,1094.88
504,Macedonia,6414507,852.69
505,Brazil,9109787,1487.4
506,Latvia,2881236,1551.79
507,China,1229790,1875.89
508,China,4225427,1507.55
509,Hungary,7838364,1214.74
510,Argentina,8268600,907.9
511,Philippines,9277524,1496.53
512,Brazil,1462740,1204.02
513,Thailand,5866609,1712.85
514,Morocco,9371225,1140.89
515,China,1826340,1222.93
516,North Korea,6730806,1539.34
517,Philippines,3502125,1616.83
518,Brazil,4404079,1811.07
519,Indonesia,1494450,1264.18
520,China,4045165,1322.67
521,Sweden,7884224,1705.83
522,Peru,7498512,1615.05
523,United States,8201396,1320.77
524,Greece,4775287,1207.4
525,Poland,2691649,1210.2
526,China,7716523,1058.77
527,Yemen,4949844,989.01
528,Brazil,5840899,1105.01
529,China,7952247,1193.17
530,Sweden,7168806,1306.19
531,China,1528803,817.33
532,Mozambique,7008371,1568.29
533,Spain,3729965,1175.02
534,Brazil,6848663,1512.45
535,French Guiana,1420613,1890.56
536,Indonesia,3863250,816.85
537,Dominican Republic,8643651,1617.17
538,Portugal,7415765,1627.82
539,China,2422921,1544.64
540,Czech Republic,6400330,1283.76
541,Sweden,2352474,1167.73
542,Dominican Republic,8141617,1210.39
543,Afghanistan,2494965,1744.65
544,Sweden,7452175,1529.45
545,Indonesia,4381927,1006.52
546,Brazil,7596167,1389.84
547,Poland,1794934,1478.05
548,Indonesia,1873169,1069.66
549,Palestinian Territory,3123568,1083.14
550,Philippines,9938416,1596.42
551,Philippines,8808775,1182.03
552,China,9039471,1134.9
553,France,6929838,1431.07
554,China,7595999,1662.01
555,China,3038550,1829.03
556,North Korea,9848556,1402.94
557,Russia,1217522,867.01
558,Russia,7912507,1184.66
559,China,8872027,1437.71
560,Ireland,7386769,1758.13
561,Philippines,8754648,1028.29
562,Tanzania,9212280,1664.36
563,Portugal,9829925,1400.1
564,Poland,6717395,1041.03
565,Brazil,3663751,1580.66
566,Sudan,5974531,1106.51
567,Colombia,3251485,1509.62
568,Slovenia,1809017,1367.27
569,Poland,4389210,871.99
570,Syria,6196873,1644.34
571,Sweden,2363694,1721.46
572,Thailand,1334963,826.81
573,Mexico,7789090,1582.39
574,Azerbaijan,4445004,1798.77
575,Portugal,6227930,1042.67
576,El Salvador,7951929,951.24
577,China,1716968,927.64
578,Portugal,4656249,1526.35
579,Japan,9681162,1477.96
580,Germany,2200785,1395.83
581,China,7634552,973.23
582,Philippines,2365670,1019.93
583,China,7822400,1742.51
584,China,6170258,1788.84
585,Peru,8623111,896.06
586,Greece,1185098,1494.84
587,Belize,8832805,1511.93
588,Cuba,7468101,1560.36
589,Japan,4043980,1525.07
590,Bosnia and Herzegovina,7521014,1305.59
591,Portugal,7536398,935.89
592,Japan,6962736,1031.71
593,Indonesia,6566471,830.14
594,China,7348190,1565.89
595,Portugal,2749654,1648.28
596,Russia,7891547,801.77
597,China,7144469,861.3
598,China,1540121,1254.66
599,Mexico,4071119,1414.23
600,Philippines,6849669,1619.43
601,China,1968499,896.32
602,Czech Republic,3277156,1531.54
603,Philippines,9817861,1474.45
604,Senegal,6550260,1516.04
605,Canada,7898151,1425.02
606,China,9980977,851.46
607,Poland,2717505,1872.98
608,China,4225280,1302.61
609,Russia,9662073,1830.34
610,Greece,8556892,1537.41
611,Indonesia,9543775,1891.38
612,Kenya,6716999,835.52
613,Jordan,9301492,1505.54
614,Japan,2899837,1711.83
615,China,2481918,1195.42
616,Russia,9440291,1311.61
617,Ecuador,5187435,1730.08
618,China,8148039,1555.05
619,Brazil,7524752,1156.89
620,Finland,3018521,869.08
621,Russia,6863083,1415.74
622,South Africa,2857468,1298.21
623,Thailand,9354606,1801.88
624,Cameroon,1693901,1426.53
625,Portugal,3871068,1150.6
626,Russia,3272216,1328.07
627,Cyprus,3168955,1355.95
628,Philippines,2859858,1039.48
629,Portugal,9244646,1690.56
630,Vietnam,6767016,1530.53
631,China,3742784,1384.71
632,Pakistan,4587855,1653.48
633,Egypt,3573229,1263.47
634,China,8443881,1068.42
635,Indonesia,3294186,982.35
636,Greece,8942810,1433.99
637,China,3100811,1849.3
638,Philippines,8291346,1267.83
639,Philippines,2136639,1624.09
640,Mexico,5565259,1394.2
641,Indonesia,6986786,1466.53
642,Indonesia,2626694,1228.74
643,Philippines,7596740,1734.74
644,Argentina,1048794,1046.43
645,Indonesia,2762698,916.06
646,Portugal,3081319,916.21
647,China,7886086,1028.58
648,Indonesia,9004144,1434.86
649,Japan,2464477,1412.51
650,Poland,3576196,1089.18
651,China,8861667,1193.8
652,Poland,4981945,1078.68
653,Mexico,8829850,1441.44
654,Netherlands,2510166,1223.56
655,Japan,1399717,1550.82
656,United States,2999648,1123.27
657,Pakistan,5330768,1113.18
658,Panama,5702632,845.9
659,Brazil,7320484,1473.98
660,France,2363421,1273.88
661,Philippines,9895159,1555.84
662,Thailand,2436185,1796.51
663,China,5097862,983.65
664,Philippines,7485072,1631.27
665,Indonesia,2546756,972.37
666,Indonesia,1805838,1533.27
667,Syria,7189526,1030.29
668,New Zealand,2627652,1329.3
669,Indonesia,5938920,1849.43
670,Indonesia,9077096,1459.03
671,China,1507347,1035.19
672,Malaysia,3838402,1684.99
673,Sweden,8716623,1436.27
674,Argentina,5882032,1195.06
675,Thailand,9584800,1407.78
676,Greece,9977279,1054.79
677,Russia,3086153,1601.85
678,Ukraine,7953278,858.55
679,Sweden,4159546,1040.02
680,Indonesia,9271366,871.27
681,Indonesia,8317919,1412.4
682,Indonesia,3053067,945.2
683,Chad,6909134,1198.21
684,Croatia,1863094,1576.56
685,Gambia,7561413,1026.99
686,Indonesia,2725049,1383.99
687,Sweden,5909577,1744.48
688,Colombia,6710222,1250.55
689,Greece,1322309,801.62
690,China,4571544,1262.6
691,France,5156778,1603.65
692,Peru,9171031,1478.19
693,China,8170578,1896.23
694,Indonesia,7264143,1233.86
695,France,2731355,1202.79
696,Slovenia,5875427,1861.39
697,Germany,1859438,955.31
698,Poland,3866893,1826.69
699,China,4400745,1164.98
700,Ukraine,2571486,1602.5
701,China,6998305,1455.44
702,China,2468676,1204.9
703,Venezuela,7918872,978.58
704,Nigeria,1072915,1503.07
705,Greece,5488891,1559.3
706,Ukraine,5583544,1580.89
707,Qatar,9863005,1530.11
708,Indonesia,3501784,1532.19
709,France,7296380,1549.69
710,Somalia,5563846,1037.4
711,Colombia,8381371,1323.44
712,Kuwait,7960760,1273.0
713,Ireland,8684280,1361.36
714,Argentina,4317551,1140.97
715,Philippines,7269618,1361.95
716,China,8150674,1644.65
717,Switzerland,4885495,855.93
718,Democratic Republic of the Congo,8912069,1660.94
719,Russia,1421050,1670.49
720,Dominican Republic,3696759,1275.92
721,Serbia,3656582,1298.55
722,Indonesia,8893419,1744.51
723,Sweden,5750508,1267.8
724,Ireland,3158980,1069.95
725,Sweden,8549591,925.55
726,China,4520791,1087.34
727,Russia,5189637,922.71
728,Venezuela,3868604,1100.94
729,Indonesia,2853083,1399.66
730,China,6458092,887.68
731,Kazakhstan,4586943,945.99
732,Czech Republic,1584721,1223.43
733,Russia,1734088,1555.35
734,Azerbaijan,8118853,1154.94
735,Indonesia,4766847,1166.41
736,Ireland,2877344,1107.16
737,Mali,7060850,871.13
738,Mexico,1833612,1243.93
739,Ukraine,7752387,1309.08
740,Indonesia,2929227,1074.56
741,France,7824769,1463.94
742,Japan,7929435,1069.66
743,China,1639945,1429.52
744,Colombia,9677787,989.35
745,China,3450937,837.81
746,Kazakhstan,1797907,1495.43
747,Philippines,3980671,1761.11
748,Portugal,4384535,1109.17
749,Portugal,1177727,1678.21
750,Netherlands,4227854,1232.19
751,Brazil,3791582,1506.6
752,Brazil,5290811,1682.94
753,China,8954766,1432.34
754,Russia,8321234,1002.23
755,Oman,1958574,1173.7
756,Indonesia,9952560,1300.88
757,United States,8827518,1180.58
758,Indonesia,5463820,1776.62
759,China,5019535,1156.8
760,Portugal,6914363,1107.18
761,France,5412288,1673.46
762,Israel,9009460,893.31
763,China,9831916,867.71
764,France,4532265,822.28
765,Poland,9898519,1494.4
766,China,9382689,869.08
767,Indonesia,8861132,844.77
768,Brazil,6000747,1060.37
769,Indonesia,7964268,1046.69
770,Indonesia,6530243,1035.35
771,Czech Republic,9809636,862.87
772,Portugal,4510115,1171.75
773,Philippines,8064053,944.96
774,China,3214481,917.18
775,China,5379225,1791.34
776,Bulgaria,7860487,890.47
777,Philippines,9694100,921.63
778,Ireland,3274695,1331.21
779,Serbia,2167987,1193.7
780,Tajikistan,4704130,1419.6
781,Nigeria,4141292,1188.73
782,Philippines,9201342,1312.22
783,Indonesia,9508555,1802.37
784,Philippines,1263925,1202.46
785,China,7531464,940.85
786,China,1627354,1141.51
787,Latvia,6514578,1255.75
788,Peru,8898058,1476.53
789,Germany,5760800,1336.18
790,Russia,8965169,1413.87
791,United States,1048111,1561.95
792,Philippines,5291160,1769.26
793,Poland,1683827,836.2
794,Morocco,8083512,861.74
795,Indonesia,1091106,1236.06
796,Indonesia,1504712,1814.49
797,China,4409583,1481.32
798,Philippines,2688798,1106.16
799,Iran,9838313,1599.89
800,Philippines,2846301,1046.25
801,China,3910568,1287.61
802,Poland,9666462,866.91
803,Poland,6852838,957.9
804,France,7765901,1654.64
805,Brazil,7294127,1134.57
806,United States,9395747,1127.98
807,Ukraine,1481162,1452.89
808,Poland,6614160,1203.09
809,Vietnam,2322864,1061.96
810,Indonesia,9472581,1367.32
811,Japan,9621125,1261.25
812,China,7055925,1161.75
813,Indonesia,8544056,1792.49
814,Indonesia,3482278,1537.02
815,China,9277347,1480.23
816,Peru,1672970,1334.14
817,Portugal,4000065,1544.81
818,Madagascar,6125505,1757.93
819,South Korea,6764379,1274.6
820,Bolivia,9016556,1559.78
821,Russia,2617380,1154.91
822,Sweden,5230691,955.27
823,Canada,3630978,1869.72
824,Indonesia,3405466,1183.69
825,Palestinian Territory,5024519,1776.14
826,Japan,8801445,1897.62
827,Nigeria,2357585,834.77
828,Slovenia,4912522,930.79
829,Portugal,6587397,1883.04
830,United States,6357349,1017.43
831,Haiti,5107182,1316.15
832,Russia,6609870,1802.58
833,Syria,9420543,1057.89
834,Colombia,7833457,830.29
835,Bosnia and Herzegovina,9568376,1256.67
836,Syria,6857519,873.55
837,Kazakhstan,5793246,1198.24
838,Poland,6640871,1636.07
839,Armenia,8875350,937.24
840,France,9535328,1282.85
841,Russia,8065009,984.79
842,China,3524893,1083.97
843,France,4696445,1662.28
844,Indonesia,5875745,1038.59
845,China,8225793,990.04
846,Russia,7849057,1213.95
847,Russia,2996771,939.75
848,France,6812719,1723.84
849,Greece,8418940,1824.99
850,Tajikistan,7704923,856.36
851,Brazil,6943318,1091.16
852,China,3181045,1780.2
853,Denmark,8125023,835.86
854,China,5661631,1190.55
855,Poland,8318463,1847.67
856,Portugal,8712757,1500.4
857,Denmark,7538007,1895.15
858,Czech Republic,9345708,995.86
859,Indonesia,6509114,920.85
860,Thailand,9203843,1027.43
861,Libya,4959515,1571.41
862,Philippines,6341983,1328.54
863,Thailand,1306130,1647.16
864,Philippines,8888026,1680.3
865,Indonesia,5658006,1036.92
866,Ukraine,8413186,907.19
867,Cuba,1078902,1593.38
868,Morocco,9398736,1279.0
869,Peru,8044678,1541.66
870,Russia,5511108,1612.11
871,China,1432974,852.04
872,Japan,3986696,1002.82
873,Russia,8350237,1808.16
874,Canada,5527545,882.12
875,Palestinian Territory,5050726,1014.77
876,Russia,9992898,1706.69
877,Saudi Arabia,1189094,931.61
878,Peru,8063854,1755.99
879,Philippines,3461328,1427.52
880,Pakistan,9427791,1086.52
881,Czech Republic,6150977,1732.27
882,Serbia,6239360,1880.87
883,Russia,8924960,1144.05
884,Indonesia,9601369,818.21
885,Vietnam,8271497,1812.8
886,Colombia,6223527,1779.17
887,Micronesia,6424677,840.85
888,Peru,8393138,1830.38
889,Indonesia,1790521,1670.44
890,Poland,2925801,1363.19
891,Philippines,5538048,961.14
892,Guatemala,3176068,1359.43
893,South Korea,3343008,1463.95
894,China,3698401,1568.7
895,China,6280225,1383.43
896,Portugal,7180951,1097.44
897,China,1795999,902.44
898,Indonesia,8496655,1303.81
899,China,8997618,1872.03
900,China,1609727,1869.13
901,Brazil,8442926,820.33
902,Russia,4917581,1214.25
903,France,2298020,1892.07
904,China,6680244,1808.83
905,China,5660177,1029.08
906,Denmark,1632012,1009.74
907,Poland,1099904,1240.46
908,Colombia,4951722,1506.14
909,Spain,6537065,1236.57
910,Canada,3728543,1883.19
911,Portugal,5857401,1555.64
912,China,3284553,1033.82
